theme,emoji,nombre
2,❤,2062
2,😂,1549
2,😍,1447
2,🍭,719
2,😘,687
2,♥,609
2,😭,426
2,✨,422
2,🙏,405
2,☀,387
2,🔥,364
2,🎉,364
2,💕,358
2,😱,322
2,💜,316
2,💪,272
2,👌,265
2,💋,251
2,🤗,244
2,😊,225
2,♀,225
2,🙈,212
2,🙌,194
2,🌴,187
2,👏,168
2,😁,160
2,💖,157
2,🤣,150
2,👉,147
2,😋,142
2,☕,141
2,🖤,140
2,😅,138
2,😏,134
2,👍,124
2,😜,117
2,☺,117
2,😻,111
2,📸,110
2,😉,105
2,👻,91
2,👀,91
2,💙,90
2,🌸,87
2,💫,82
2,😎,82
2,💄,80
2,😹,79
2,➡,79
2,🤩,77
2,💛,77
2,💚,77
2,🙄,73
2,😇,72
2,🤔,71
2,⭐,67
2,💗,66
2,⚠,64
2,😛,61
2,💃,59
2,🎄,55
2,😄,55
2,🤦,53
2,😢,52
2,🎼,52
2,😬,51
2,🎁,49
2,🎃,48
2,❄,48
2,✈,46
2,💥,45
2,🤓,45
2,✌,45
2,🤷,45
2,🎶,44
2,😃,44
2,😩,43
2,🚨,42
2,😀,42
2,🌊,42
2,👯,41
2,🙊,41
2,😆,41
2,🙋,40
2,🐣,39
2,🐕,37
2,😴,37
2,👑,36
2,👩,36
2,👊,36
2,😳,36
2,💁,35
2,🎥,35
2,🎤,34
2,🐱,34
2,🎂,33
2,🤞,33
2,🌿,32
2,🌞,31
2,💍,31
2,😈,31
2,👅,30
2,😝,30
2,🌹,29
2,💦,29
2,😑,29
2,😌,29
2,⚽,29
2,✅,28
2,🎊,28
2,⏰,27
2,🍂,27
2,🎬,27
2,📍,27
2,😰,26
2,🍾,26
2,♂,25
2,✔,25
2,🍃,25
2,👶,25
2,💘,25
2,🏆,25
2,📷,24
2,😒,24
2,💯,24
2,💓,24
2,📖,24
2,😨,24
2,👗,24
2,🎈,24
2,🐶,24
2,📺,24
2,👇,23
2,🍔,23
2,⤵,23
2,👋,23
2,✊,23
2,🌈,22
2,😡,22
2,🤭,22
2,⬇,22
2,🙀,22
2,🍁,21
2,🧡,21
2,🌟,21
2,🌍,21
2,🕺,21
2,🎵,21
2,🎹,21
1,😍,881
1,🔥,868
1,❤,814
1,😭,639
1,😂,633
1,➡,419
1,▶,403
1,😱,351
1,♥,289
1,👌,257
1,😉,257
1,😁,239
1,💪,232
1,😎,228
1,😘,222
1,👀,187
1,👊,183
1,👍,178
1,🤔,166
1,🙏,164
1,😊,161
1,😏,149
1,🤣,148
1,🤓,136
1,👉,128
1,🎮,121
1,📺,114
1,🙃,108
1,😅,97
1,🎉,96
1,😀,91
1,🔴,88
1,🎁,85
1,🏆,83
1,🤗,77
1,😈,65
1,☺,64
1,📸,62
1,🧀,60
1,😄,60
1,✌,59
1,⚔,58
1,🤩,55
1,🐝,55
1,👏,54
1,😢,52
1,♂,51
1,⚡,51
1,🐕,50
1,⚠,50
1,🤘,49
1,💕,49
1,😤,47
1,😋,46
1,🤪,45
1,⭐,44
1,😇,44
1,🙌,43
1,😆,42
1,😜,42
1,💥,41
1,⬇,41
1,🙄,41
1,🥇,40
1,☀,40
1,♀,39
1,😃,38
1,🎃,38
1,🤷,37
1,😴,37
1,💀,36
1,🦑,33
1,💛,33
1,◀,33
1,🙂,33
1,🧐,32
1,💙,31
1,👑,30
1,✅,30
1,😪,29
1,✨,28
1,⚽,28
1,😵,27
1,🤞,27
1,👇,26
1,🎥,25
1,🎂,24
1,😑,24
1,📌,23
1,😡,23
1,🎙,23
1,😌,23
1,⏩,22
1,😬,22
1,💰,22
1,👋,21
1,📢,21
